album,name,popularity,duration_ms,tempo,energy,loudness,speechiness,instrumentalness,lyrics,Gold,Platinum
AM,SNAP OUT OF IT,55,193030,130.014,0.638,-6.455,0.0336,0.0,"[Verse 1]
What's been happenin' in your world?
What have you been up to?
I heard that you fell in love or near enough
I gotta tell you the truth, yeah

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

[Verse 2]
Forever isn't for everyone
Is forever for you?
It sounds like settlin' down or givin' up
But it don't sound much like you, girl

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

[Bridge]
Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind? (Snap out of it)
Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind?

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it",2.0,12.0
AM,WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH?,65,161123,92.004,0.631,-6.478,0.0368,1.13e-05,"[Verse 1]
The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""

[Verse 2]
Somewhere darker, talkin' the same shite
I need a partner, well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""

[Bridge]
An' I can't see you here, wonderin' where  am I
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
An' you're startin' to bore me, baby
""Why'd you only call me when you're high?""

[Outro]
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?""",2.0,12.0
ARABELLA (LIVE AT THE ROYAL ALBERT HALL),505 - LIVE,33,275733,139.62,0.769,-8.013,0.0812,3.3e-05,_IGNORE_EMPTY_IGNORE_,,
ARABELLA (LIVE AT THE ROYAL ALBERT HALL),ARABELLA - LIVE,35,246973,91.247,0.86,-6.814,0.256,0.0,_IGNORE_EMPTY_IGNORE_,,
BODY PAINT,BODY PAINT,0,290584,144.745,0.313,-11.653,0.0627,0.0,_IGNORE_EMPTY_IGNORE_,,
BODY PAINT,THERE’D BETTER BE A MIRRORBALL,0,265798,71.998,0.367,-10.896,0.0309,0.0118,_IGNORE_EMPTY_IGNORE_,,
FAVOURITE WORST NIGHTMARE,505,88,253586,140.266,0.866,-5.822,0.0568,7.78e-05,"[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five-minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs

[Verse 1]
Stop and wait a sec
When you look at me like that, my darling, what did you expect?
I'd probably still adore you with your hands around my neck
Or I did last time I checked
Not shy of a spark
A knife twists at the thought that I should fall short of the mark
Frightened by the bite, though it's no harsher than the bark
The middle of adventure, such a perfect place to start

[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five-minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs

[Instrumental Break]

[Verse 2]
But I crumble completely when you cry
It seems like once again you've had to greet me with ""Goodbye""
I'm always just about to go and spoil a surprise
Take my hands off of your eyes too soon

[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs and a smile",,
FAVOURITE WORST NIGHTMARE,BALACLAVA,62,171226,137.617,0.811,-4.4,0.0919,0.000129,"[Verse 1]
Running off over next door's garden before the hour is done
It's more a question of feeling than it is a question of fun
The confidence is the balaclava, I'm sure you'll baffle 'em good
Will the ending reek of salty cheeks and runny makeup alone?
Or will blood run down the face of a boy bewildered and scorned
And you'll find yourself in a skirmish where you wish you'd never been born?
You tie yourself to the tracks and there isn't no going back
And it's wrong, wrong, wrong, but we'll do it anyway 'cause we love a bit of trouble

[Verse 2]
Are you pulling her from a burning building or throwing her to the sharks?
Can only hope that the ending is as pleasurable as the start
The confidence is the balaclava, I'm sure you'll baffle 'em straight
And it's wrong, wrong, wrong, but she can hardly wait

[Chorus]
That's right, he won't let her out his sight
Now the shaggers perform and the daggers are drawn
Who's the crooks in this crime?
That's right, he won't let her out his sight
Now the shaggers perform and the daggers are drawn
Who's the crooks in this crime?

[Instrumental break]

[Chorus]
That's right, he won't let her out his sight
That's right, he won't let her out his sight
That's right, he won't let her out his sight
Well, you'll be able to boast
Of the day of the most flawless heist of all time

[Outro]
You knew that it'd be trouble right before the very first kiss
Quiet and unassuming but you heard that they were the naughtiest
She pleaded with you to take it off but you resisted and fought
But sorry, sweetheart, I'd much rather keep on the balaclava",,
FAVOURITE WORST NIGHTMARE,BRIANSTORM,71,172866,165.182,0.974,-4.706,0.191,0.00155,"[Verse 1]
Brian, top marks for not trying
So kind of you to bless us with your effortlessness
We're grateful and so strangely comforted
And I wonder, are you putting us under?
'Cause we can't take our eyes off the t-shirt and ties combination
Well, see you later, innovator

[Verse 2]
Some want to kiss, some want to kick you
There's not a net that you couldn't slip through
Or at least that's the impression I get
'Cause you're smooth and you're wet
And she's not aware yet, but she's yours
She'll be saying, ""Use me, show me the jacuzzi""
I imagine that it's there on a plate, your whole rendezvous rate
Means that you'll never be frightened to make 'em wait for a while
I doubt it's your style not to get what you set out to acquire
The eyes are on fire, you are the unforecasted storm

[Verse 3]
(Brian) Calm, collected and commanding
(Top marks for not trying) You leave the other story standing
With your renditions and jokes, bet there's hundreds of blokes
That have wept 'cause you've stolen their thunder
Are you putting us under?
'Cause we can't take our eyes off the t-shirt and ties combination
Well, see you later, innovator",,
FAVOURITE WORST NIGHTMARE,D IS FOR DANGEROUS,62,138106,145.061,0.925,-4.689,0.0362,0.000161,"[Verse 1]
He knew what he wanted to say
But he didn't know how to word it
The dirty little Herbert was seeking an escape
But the place was well-guarded
The guiltiness that started
Soon as the other part had stopped

[Chorus]
D is for delightful
And try and keep your trousers on
I think you should know you're his favourite worst nightmare

[Verse 2]
D is for desperately trying to simulate
What it was that was alright
Three quarters of an hour ago
That had led him to be in a position
On every compromission
And every other episode

[Bridge]
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel—I think you should know you're his favourite worst nightmare

[Chorus]
D is for delightful
And try and keep your trousers on
You should know you're his favourite worst nightmare",,
FAVOURITE WORST NIGHTMARE,DO ME A FAVOUR,69,209253,180.15,0.738,-6.638,0.0619,0.0577,"[Verse 1]
Well, the mourning was complete
When there was tears on the steering wheel dripping on the seat
Several hours or several weeks
I'd have the cheek to say they're equally as bleak

[Verse 2]
It's the beginning of the end
The car went up the hill and disappeared around the bend
Ask anyone, they'll tell you that it's these times that it tends
To start to break in half, to start to fall apart, hold on to your heart

[Chorus]
And do me a favour and break my nose
Or do me a favour and tell me to go away
Or do me a favour and stop asking questions

[Verse 3]
She walked away while her shoes were untied
And the eyes were all red, you could see that we'd cried
And I watched and I waited 'til she was inside
Forcing a smile and waving goodbye
Curiosity becomes a heavy load
Too heavy to hold, too heavy to hold
Curiosity becomes a heavy load
Too heavy to hold, will force you to be cold

[Chorus]
Do me a favour and ask if you need some help
She said, ""Do me a favour and stop flattering yourself""
And to tear apart the ties that bind
Perhaps ""Fuck off"" might be too kind
Perhaps ""Fuck off"" might be too kind",,
FAVOURITE WORST NIGHTMARE,FLUORESCENT ADOLESCENT,79,183893,112.056,0.828,-5.377,0.0281,0.000144,"[Verse 1]
You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?

[Chorus 1]
Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory and those dreams
But not as daft as they seem, not as daft as they seem
My love, when you dream them up

[Verse 2]
Flicking through a little book of sex tips
Remember when the boys were all electric?
Now when she's told she's gonna get it
I'm guessing that she'd rather just forget it
Clinging to not getting sentimental
Said she wasn't going but she went still
Likes her gentlemen not to be gentle
Was it a Mecca dauber or a betting pencil?

[Chorus 2]
Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory and those dreams
Weren't daft as they seem, not as daft as they seem
My love, when you dream them up
Oh, Flo, where did you go?
Where did you go? Where did you go?

[Bridge]
You're falling about
You took a left off Last Laugh Lane
Just sounding it out
But you're not coming back again
You're falling about
You took a left off Last Laugh Lane
You were just sounding it out
But you're not coming back again

[Outro]
You used to get it in your fishnets
(Falling about)
Now you only get it in your night dress
Discarded all the naughty nights for niceness
(You took a left off Last Laugh Lane)
Landed in a very common crisis
Everything's in order in a black hole
(You were just sounding it out)
Is anything as pretty in the past though?
That Bloody Mary's lacking in Tabasco
(You're not coming back again)
Remember when you used to be a rascal?
(Oh...)",,
FAVOURITE WORST NIGHTMARE,"IF YOU WERE THERE, BEWARE",59,276200,135.546,0.805,-6.74,0.0383,0.048,"[Verse 1]
If you were there, beware the serpent soul pinchers
Three-hundred and fifty ""No, thank you""s and nobody flinches
Go on, girl, go on, give us something gruesome
We require your grief, the thugs help the thieves
As they're trying to rob the words from her gob and
Take the source of the innocence

[Verse 2]
If you were there, beware the serpent soul pinchers
Can't you sense she was never meant to fill column inches
Ain't you had enough? What you're trying to dig up
Isn't there to be dug; the thieves help the thugs
As they're trying to beat the good grace of a sweetheart
Out to the point she'll comply

[Verse 3]
And why leave her on her own?
If I'd have known then I wouldn't have said it
I wouldn't have said it if I would have known
Why leave her on her own?
If I predicted tears then I wouldn't have said it
I wouldn't have said it if I would have known

[Instrumental break]

[Verse 4]
There's a circle of witches, ambitiously vicious they are
Our attempts to remind them of reason won't get us that far
But I don't know what it is that they want
I don't know what it is that they want
But I haven't got it to give
And she hasn't got it to give",,
FAVOURITE WORST NIGHTMARE,OLD YELLOW BRICKS,69,193226,135.158,0.837,-4.315,0.0682,6.62e-06,"[Verse 1]
Old yellow bricks, love's a risk
Quite the little escapologist
Looked so miffed when you wished
For a thousand places better than this
You are the fugitive but you don't know what you're running from
You can't kid us and you couldn't trick anyone
Houdini, love, you don't know what you're running away from

[Chorus]
Who wants to sleep in the city that never wakes up?
Blinded by nostalgia
Who wants to sleep in the city that never wakes up?

[Verse 2]
She was enraged by the way
That the emperor put traps in the cage
And the days she'd deemed dull
Leading to nights reading beer bottles
You're such a fugitive but you don't know what you're running from
You can't kid us and you couldn't trick anyone
Houdini, love, you don't know what you're running away from

[Chorus]
Who wants to sleep in the city that never wakes up?
Blinded by nostalgia
Who wants to sleep in the city that never wakes up?

[Verse 3]
You're at a loss just because
It wasn't all that you thought it was
You are the fugitive
But you don't know what you're running away from
She said, ""I want to sleep in the city that never wakes up
And revel in nostalgia""
I know I said, ""Who wants to sleep in a city that never wakes up?""
But Dorothy was right though",,
FAVOURITE WORST NIGHTMARE,ONLY ONES WHO KNOW,66,184760,128.37,0.399,-10.696,0.0338,0.0019,"[Verse 1]
In a foreign place, the saving grace was the feeling
That it was a heart that he was stealing
Oh, he was ready to impress and the fierce excitement
The eyes are bright, he couldn't wait to get away
And I bet that Juliet was just the icing on the cake
Make no mistake, no

[Chorus]
And even if somehow we could have
Shown you the place you wanted
Well, I'm sure you could have
Made it that bit better on your own

[Verse 2]
And I bet she told a million people that she'd stay in touch
But all the little promises, they don't mean much
When there's memories to be made
And I hope you're holding hands by New Year's Eve
They made it far too easy to believe
That true romance can't be achieved these days

[Chorus]
And even if somehow they could have
Shown you the place you wanted
Well, I'm sure you could have
Made it that bit better on your own
You are the only ones who know",,
FAVOURITE WORST NIGHTMARE,TEDDY PICKER,72,165000,150.1,0.963,-5.116,0.0882,0.000889,"[Verse 1]
They've sped up to the point where they provoke
The punchline before they have told the joke
Plenty of desperation to be seen
Staring at the television screen
They've sped up to the point where they provoke
You to tell the fucking punchline before you have told the joke
Well sorry, sunshine, it doesn't exist
It wasn't in the Top 100 list

[Chorus 1]
And it's the thousandth time that it's even bolder
Don't be surprised when you get bent over
They told you, but you were dying for it

[Verse 2]
She saw it and she grabbed it and it wasn't what it seemed
The kids all dream of making it, whatever that means
Another variation on a theme
A tangle on the television and the magazine
D'you reckon that they do it for a joke?
D'you reckon that they make 'em take an oath
That says that ""We are defenders of any poser
Or professional pretender around""

[Chorus 2]
And when did your list replace the twist and turn
Like a fist replaced a kiss?
Don't concern us with your bollocks, I don't want your prayer
Save it for the morning after

[Guitar Solo]

[Chorus 1]
And it's the thousandth time that it's even bolder
Don't be surprised when you get bent over
They told you, but you were gagging for it

[Bridge]
Let's have a game on the teddy picker
Not quick enough, can I have it quicker?
Already thick and you're getting thicker
Let's have a game on the teddy picker
Not quick enough, can I have it quicker?
Already thick and you're getting thicker

[Outro]
Presuming that all things are equal
Who'd want to be men of the people
When there's people like you?",,
